"x,y,z"
"401.01,423.67,2087.16"
"403.70,426.46,2096.38"
"406.42,429.21,2105.60"
"409.13,431.95,2114.83"
"411.83,434.65,2124.07"
"414.51,437.33,2133.33"
"417.16,440.05,2142.58"
"419.77,442.89,2151.81"
"422.35,445.81,2161.02"
"424.87,448.72,2170.25"
"427.34,451.56,2179.51"
"429.79,454.36,2188.79"
"432.35,457.25,2198.02"
"435.00,460.22,2207.19"
"437.66,463.22,2216.35"
"440.28,466.21,2225.52"
"442.89,469.12,2234.73"
"445.53,471.94,2243.95"
"448.21,474.70,2253.18"
"450.96,477.43,2262.40"
"453.78,480.19,2271.59"
"456.67,483.02,2280.74"
"459.64,485.97,2289.82"
"462.68,489.01,2298.84"
"465.73,492.07,2307.86"
"468.77,495.11,2316.89"
"471.76,498.11,2325.95"
"474.66,501.01,2335.07"
"477.47,503.87,2344.23"
"480.22,506.76,2353.40"
"482.94,509.65,2362.58"
"485.66,512.52,2371.77"
"488.38,515.35,2380.96"
"491.09,518.13,2390.18"
"493.81,520.87,2399.40"
"496.51,523.62,2408.63"
"499.21,526.50,2417.82"
"501.92,529.47,2426.97"
"504.64,532.45,2436.12"
"507.37,535.40,2445.28"
"510.09,538.32,2454.45"
"512.77,541.19,2463.65"
"515.40,544.03,2472.87"
"518.01,546.88,2482.09"
"520.62,549.76,2491.31"
"523.25,552.65,2500.51"
"525.87,555.49,2509.73"
"528.46,558.29,2518.97"
"531.01,561.08,2528.24"
"533.52,563.84,2537.51"
"536.06,566.59,2546.78"
"538.72,569.39,2556.01"
"541.48,572.23,2565.19"
"544.27,575.07,2574.36"
"547.08,577.90,2583.54"
"549.86,580.68,2592.73"
"552.59,583.41,2601.95"
"555.27,586.15,2611.19"
"557.93,588.93,2620.42"
"560.56,591.74,2629.65"
"563.16,594.53,2638.89"
"565.73,597.29,2648.16"
"568.30,600.01,2657.43"
"570.93,602.77,2666.67"
"573.65,605.55,2675.89"
"576.41,608.30,2685.10"
"579.17,610.98,2694.33"
"581.94,613.62,2703.57"
"584.69,616.20,2712.83"
"587.41,618.74,2722.11"
"590.08,621.23,2731.42"
"592.66,623.69,2740.76"
"595.14,626.15,2750.13"
"597.53,628.65,2759.52"
"599.90,631.11,2768.91"
"602.33,633.54,2778.30"
"604.80,635.96,2787.68"
"607.20,638.37,2797.09"
"609.48,640.71,2806.54"
"611.69,643.00,2816.02"
"613.87,645.26,2825.52"
"616.03,647.51,2835.02"
"618.20,649.81,2844.50"
"620.39,652.14,2853.98"
"622.56,654.44,2863.46"
"624.65,656.62,2873.00"
"626.66,658.70,2882.57"
"628.68,660.79,2892.14"
"630.74,662.91,2901.69"
"632.86,665.07,2911.22"
"635.04,667.27,2920.73"
"637.22,669.48,2930.24"
"639.36,671.67,2939.75"
"641.47,673.82,2949.29"
"643.58,675.88,2958.85"
"645.68,677.87,2968.42"
"647.74,679.82,2978.01"
"649.74,681.74,2987.62"
"651.69,683.64,2997.24"
"653.59,685.51,3006.88"
"655.40,687.30,3016.55"
"657.15,689.00,3026.24"
"658.83,690.60,3035.97"
"660.43,692.13,3045.72"
"661.92,693.62,3055.50"
"663.32,695.05,3065.30"
"664.68,696.40,3075.11"
"665.97,697.68,3084.94"
"667.19,698.93,3094.79"
"668.33,700.19,3104.64"
"669.45,701.44,3114.50"
"670.57,702.63,3124.37"
"671.68,703.75,3134.24"
"672.74,704.83,3144.13"
"673.76,705.89,3154.02"
"674.78,706.90,3163.91"
"675.78,707.85,3173.82"
"676.78,708.74,3183.73"
"677.76,709.54,3193.65"
"678.67,710.23,3203.58"
"679.53,710.82,3213.53"
"680.31,711.32,3223.48"
"681.04,711.71,3233.45"
"681.77,712.02,3243.42"
"682.50,712.25,3253.39"
"683.19,712.47,3263.36"
"683.86,712.72,3273.34"
"684.50,712.96,3283.31"
"685.14,713.17,3293.29"
"685.75,713.35,3303.27"
"686.33,713.50,3313.25"
"686.33,713.50,3323.24"
"686.33,713.50,3333.23"
"686.33,713.50,3343.22"
"686.33,713.50,3353.21"
"686.33,713.50,3363.19"
"686.33,713.50,3373.18"
"686.33,713.50,3383.17"
"686.33,713.50,3393.16"
"686.33,713.50,3403.15"
"686.33,713.50,3413.14"
"686.33,713.50,3423.14"
"686.33,713.50,3433.13"
"686.33,713.50,3443.12"
"686.33,713.50,3453.12"
"686.33,713.50,3463.11"
"686.33,713.50,3473.11"
"686.33,713.50,3483.11"
"686.33,713.50,3493.10"
"686.33,713.50,3503.10"
"686.33,713.50,3513.10"
"686.33,713.50,3523.10"
"686.33,713.50,3533.10"
"686.33,713.50,3543.09"
"686.33,713.50,3553.09"
"686.33,713.50,3563.09"
"686.33,713.50,3573.09"
"686.33,713.50,3583.09"
"686.33,713.50,3593.09"
"686.33,713.50,3603.09"
"686.33,713.50,3613.09"
"686.33,713.50,3623.09"
"686.33,713.50,3633.09"
"686.33,713.50,3643.09"
"686.33,713.50,3653.09"
"686.33,713.50,3663.09"
"686.33,713.50,3673.09"
"686.33,713.50,3683.09"
"686.33,713.50,3693.08"
"686.33,713.50,3703.08"
"686.33,713.50,3713.08"
"686.33,713.50,3723.07"
"686.33,713.50,3733.06"
"686.33,713.50,3743.05"
"686.33,713.50,3753.05"
